,TrueReward,ExpectedReward,NumActions,NumRepeatActions,NumImmediateRepeatActions,EnvSeed,Time,Tau,Cost,MaxActions,Steps,RolloutDepth,ExplorationCoeff,Discretize,Bins,EnvType
0,264.0442454870586,264.8164903113354,48,18,3,5200,116.467765332,0.005,0.05,200,1000,3,5.0,True,4,4_72
1,244.4678138299718,266.08784319993305,101,47,0,5201,253.170828111,0.005,0.05,200,1000,3,5.0,True,4,4_72
2,416.5894351754896,424.9524907395828,64,27,0,5202,156.598007742,0.005,0.05,200,1000,3,5.0,True,4,4_72
3,259.7157156396348,238.49883435921825,71,34,1,5203,176.54006515499998,0.005,0.05,200,1000,3,5.0,True,4,4_72
4,185.47649125014422,202.72809730127847,74,33,1,5204,182.21666205300005,0.005,0.05,200,1000,3,5.0,True,4,4_72
5,198.669118823695,193.3375225503533,60,23,1,5205,138.97874970200007,0.005,0.05,200,1000,3,5.0,True,4,4_72
6,185.27306736095198,181.4057503665879,39,16,3,5206,93.20580230600012,0.005,0.05,200,1000,3,5.0,True,4,4_72
7,34.337095806637905,37.02179158355561,62,22,1,5207,144.10300584800007,0.005,0.05,200,1000,3,5.0,True,4,4_72
8,209.8092530684516,221.066858729565,109,55,2,5208,242.74141286000008,0.005,0.05,200,1000,3,5.0,True,4,4_72
9,148.55796930902125,145.02122479172613,86,35,0,5209,191.09156639999992,0.005,0.05,200,1000,3,5.0,True,4,4_72
10,401.85666948623174,402.10562076959417,56,25,1,5210,123.87932813300017,0.005,0.05,200,1000,3,5.0,True,4,4_72
11,359.6622535296472,350.8839598974553,60,22,0,5211,132.04945389599993,0.005,0.05,200,1000,3,5.0,True,4,4_72
12,117.13129498620509,125.95606995790988,163,104,2,5212,362.4714420529999,0.005,0.05,200,1000,3,5.0,True,4,4_72
13,67.59238409289878,67.22775647559897,78,33,2,5213,173.70349538400023,0.005,0.05,200,1000,3,5.0,True,4,4_72
14,301.4588839785904,287.9626233203179,51,20,0,5214,113.62070854500007,0.005,0.05,200,1000,3,5.0,True,4,4_72
15,282.30699970590416,267.0474094357685,66,26,0,5215,154.59796701899995,0.005,0.05,200,1000,3,5.0,True,4,4_72
16,190.88117127197836,190.2447350530827,106,46,1,5216,246.91845415600028,0.005,0.05,200,1000,3,5.0,True,4,4_72
17,425.04206512683123,419.940606928963,90,42,1,5217,206.5337669180003,0.005,0.05,200,1000,3,5.0,True,4,4_72
18,228.2657831457275,219.09868838176274,63,26,0,5218,151.50305890400023,0.005,0.05,200,1000,3,5.0,True,4,4_72
19,113.75478807905263,109.2495154425314,78,34,1,5219,168.45233408600006,0.005,0.05,200,1000,3,5.0,True,4,4_72
20,244.33175645540234,244.75602751703553,85,37,0,5220,186.66671819500016,0.005,0.05,200,1000,3,5.0,True,4,4_72
21,125.68131691031581,118.283247475767,78,29,3,5221,170.67211219799992,0.005,0.05,200,1000,3,5.0,True,4,4_72
22,195.08389182496566,190.32033927682747,89,39,1,5222,189.59592065700008,0.005,0.05,200,1000,3,5.0,True,4,4_72
23,314.001338819667,304.06283642588386,75,34,2,5223,162.57920613099986,0.005,0.05,200,1000,3,5.0,True,4,4_72
24,202.29458126633534,216.67423728835146,110,57,4,5224,232.15697093400013,0.005,0.05,200,1000,3,5.0,True,4,4_72
25,-127.39439930660245,-121.81881952725873,78,29,3,5225,171.61747665599978,0.005,0.05,200,1000,3,5.0,True,4,4_72
26,219.92477944664375,210.90618980592046,57,23,0,5226,126.83710001399959,0.005,0.05,200,1000,3,5.0,True,4,4_72
27,191.49423641685635,172.70379201755833,45,17,2,5227,98.02300490200014,0.005,0.05,200,1000,3,5.0,True,4,4_72
28,126.72846627798383,146.19410357186067,124,69,4,5228,271.5967776540001,0.005,0.05,200,1000,3,5.0,True,4,4_72
29,202.6944209822914,189.0616294817451,59,22,0,5229,143.55292388900034,0.005,0.05,200,1000,3,5.0,True,4,4_72
30,226.0446617445701,217.98625754490237,96,51,3,5230,250.00122060800004,0.005,0.05,200,1000,3,5.0,True,4,4_72
31,8.802052463950703,17.440248059546203,96,45,1,5231,247.27129462600078,0.005,0.05,200,1000,3,5.0,True,4,4_72
