,TrueReward,ExpectedReward,NumActions,NumRepeatActions,NumImmediateRepeatActions,EnvSeed,Time,Tau,Cost,MaxActions,Steps,RolloutDepth,ExplorationCoeff,Discretize,Bins,EnvType
0,203.52890081254495,188.0450624993605,18,3,0,5000,44.523997303,0.005,0.05,200,1000,0,5.0,True,4,5_90
1,162.7220757358116,167.26380893004708,10,0,0,5001,27.772295601000003,0.005,0.05,200,1000,0,5.0,True,4,5_90
2,415.3303223642639,440.308225289798,12,4,1,5002,31.85853397999999,0.005,0.05,200,1000,0,5.0,True,4,5_90
3,207.54035568631238,216.25080491934142,32,15,2,5003,91.393977291,0.005,0.05,200,1000,0,5.0,True,4,5_90
4,324.6705574317963,330.06821073044296,20,4,1,5004,58.64916219299997,0.005,0.05,200,1000,0,5.0,True,4,5_90
5,166.69161925363878,184.86723452494954,13,0,0,5005,39.13400195999998,0.005,0.05,200,1000,0,5.0,True,4,5_90
6,250.91076610767533,245.64936326355007,27,3,1,5006,79.459309845,0.005,0.05,200,1000,0,5.0,True,4,5_90
7,191.61571415890555,188.78963391036308,28,10,1,5007,82.85888904900003,0.005,0.05,200,1000,0,5.0,True,4,5_90
8,233.54448124769024,209.40150990169406,29,9,2,5008,87.379908371,0.005,0.05,200,1000,0,5.0,True,4,5_90
9,147.2737288464214,130.92429656147138,33,11,1,5009,98.31525760299996,0.005,0.05,200,1000,0,5.0,True,4,5_90
10,319.974207951385,345.78552997063497,9,1,0,5010,26.55636511299997,0.005,0.05,200,1000,0,5.0,True,4,5_90
11,137.8062291962085,132.60976005411695,189,118,4,5011,574.710222719,0.005,0.05,200,1000,0,5.0,True,4,5_90
12,378.37208978981886,375.87075505770827,32,17,3,5012,115.87645239199992,0.005,0.05,200,1000,0,5.0,True,4,5_90
13,130.29064588371753,163.6889224980301,22,1,0,5013,68.55161355299992,0.005,0.05,200,1000,0,5.0,True,4,5_90
14,83.18402881503472,67.8822150867423,65,28,3,5014,217.5641658779998,0.005,0.05,200,1000,0,5.0,True,4,5_90
15,397.7622504944495,391.14209500783954,25,9,0,5015,75.06205882400013,0.005,0.05,200,1000,0,5.0,True,4,5_90
16,185.99405286067687,191.5776588092911,33,17,2,5016,115.94104780199996,0.005,0.05,200,1000,0,5.0,True,4,5_90
17,189.6509625942874,185.3084717119281,13,1,0,5017,46.70983430000001,0.005,0.05,200,1000,0,5.0,True,4,5_90
18,169.7375996259434,174.72188442664964,36,21,1,5018,111.03594142299994,0.005,0.05,200,1000,0,5.0,True,4,5_90
19,102.89462856065562,96.04058650771431,184,121,4,5019,602.2526857440002,0.005,0.05,200,1000,0,5.0,True,4,5_90
20,341.9656510617467,299.50894827828967,21,2,0,5020,76.95178979899993,0.005,0.05,200,1000,0,5.0,True,4,5_90
21,185.0433353562204,173.51813968462943,172,108,4,5021,565.3822413280004,0.005,0.05,200,1000,0,5.0,True,4,5_90
22,305.85242373253317,301.7328377928639,54,36,7,5022,150.40914028399993,0.005,0.05,200,1000,0,5.0,True,4,5_90
23,286.24012431270836,282.5839202310009,14,2,1,5023,52.13698136599987,0.005,0.05,200,1000,0,5.0,True,4,5_90
24,134.75313062575333,108.12437507587262,9,0,0,5024,35.51691147800011,0.005,0.05,200,1000,0,5.0,True,4,5_90
25,207.8269359082895,213.6353270518655,31,12,3,5025,97.69941493999977,0.005,0.05,200,1000,0,5.0,True,4,5_90
26,116.82273069608755,129.84637523112724,201,121,3,5026,612.7228846050002,0.005,0.05,200,1000,0,5.0,True,4,5_90
27,306.932403832716,313.86253067336617,32,13,3,5027,108.77122513799986,0.005,0.05,200,1000,0,5.0,True,4,5_90
28,251.9210345546416,242.6081398699274,15,5,2,5028,46.25329282799976,0.005,0.05,200,1000,0,5.0,True,4,5_90
29,72.62483840457051,66.82093453011461,69,39,5,5029,218.86143908899976,0.005,0.05,200,1000,0,5.0,True,4,5_90
30,111.80860660134266,105.79143675774228,28,13,3,5030,93.75426737199996,0.005,0.05,200,1000,0,5.0,True,4,5_90
31,198.8657264343279,207.11020602829336,15,1,0,5031,43.050533296999674,0.005,0.05,200,1000,0,5.0,True,4,5_90
32,241.91665650098008,291.2141528302686,7,1,0,5032,20.249556652000138,0.005,0.05,200,1000,0,5.0,True,4,5_90
33,281.04255435447,294.87696772287865,16,4,0,5033,54.309867156999644,0.005,0.05,200,1000,0,5.0,True,4,5_90
34,219.0758768946036,213.2298893440814,179,113,6,5034,533.5467832929999,0.005,0.05,200,1000,0,5.0,True,4,5_90
35,334.5137827408233,329.21217627484555,45,36,8,5035,137.89677983100046,0.005,0.05,200,1000,0,5.0,True,4,5_90
36,133.51396392594157,156.32190205984395,40,23,6,5036,113.4524489710002,0.005,0.05,200,1000,0,5.0,True,4,5_90
37,254.58664143976276,276.04319127714234,19,6,0,5037,65.64140241800033,0.005,0.05,200,1000,0,5.0,True,4,5_90
38,314.16922267119054,317.63034185907446,15,5,2,5038,42.05542870199952,0.005,0.05,200,1000,0,5.0,True,4,5_90
39,-2.9934646453722182,5.008585475291676,25,10,4,5039,79.21608079099951,0.005,0.05,200,1000,0,5.0,True,4,5_90
40,73.44352329572669,84.16556082911579,181,113,3,5040,550.3523346820002,0.005,0.05,200,1000,0,5.0,True,4,5_90
41,273.02174875738996,249.02938488328607,32,12,4,5041,94.4354062500006,0.005,0.05,200,1000,0,5.0,True,4,5_90
42,320.9614902357126,330.8761868852851,7,0,0,5042,22.760180966000007,0.005,0.05,200,1000,0,5.0,True,4,5_90
43,309.7008816915548,297.61390981326514,11,0,0,5043,46.430768137000086,0.005,0.05,200,1000,0,5.0,True,4,5_90
44,24.537082963603662,32.12082692921286,12,0,0,5044,43.46261196999967,0.005,0.05,200,1000,0,5.0,True,4,5_90
45,196.70972323864547,187.21247602727757,18,4,0,5045,49.147072615999605,0.005,0.05,200,1000,0,5.0,True,4,5_90
46,146.8446770950055,158.25313100142685,27,7,0,5046,90.7159948389999,0.005,0.05,200,1000,0,5.0,True,4,5_90
47,121.94353860296721,143.56395322336994,21,1,0,5047,65.52310525800021,0.005,0.05,200,1000,0,5.0,True,4,5_90
48,226.62059623091687,312.8643449955977,13,0,0,5048,38.70410598300077,0.005,0.05,200,1000,0,5.0,True,4,5_90
49,397.9735124897661,398.8471719012659,31,17,4,5049,104.29268520900041,0.005,0.05,200,1000,0,5.0,True,4,5_90
50,240.7816253029168,224.40586050393762,21,5,2,5050,56.01118037000015,0.005,0.05,200,1000,0,5.0,True,4,5_90
51,249.8251553437539,210.89094653271334,10,0,0,5051,34.20892945700052,0.005,0.05,200,1000,0,5.0,True,4,5_90
52,323.54822334422994,308.8658208665103,17,4,0,5052,62.89383564800028,0.005,0.05,200,1000,0,5.0,True,4,5_90
53,264.78676361769374,259.89469571370546,201,131,4,5053,593.2016683649999,0.005,0.05,200,1000,0,5.0,True,4,5_90
54,203.08073227647455,197.9593818801509,13,1,0,5054,40.23522531399976,0.005,0.05,200,1000,0,5.0,True,4,5_90
55,612.2832112879047,582.3252152461474,13,1,1,5055,32.58221328400032,0.005,0.05,200,1000,0,5.0,True,4,5_90
56,254.6151568299559,256.33557762691584,22,8,1,5056,69.99523497499922,0.005,0.05,200,1000,0,5.0,True,4,5_90
