,TrueReward,ExpectedReward,NumActions,NumRepeatActions,NumImmediateRepeatActions,EnvSeed,Time,Tau,Cost,MaxActions,Steps,RolloutDepth,ExplorationCoeff,Discretize,Bins,EnvType
0,-346.0956098843068,-201.0,201,190,184,5100,2.552128907,0.005,1.0,200,10,0,0.5,True,4,4_72
1,-334.30585241910853,-201.0,201,193,193,5101,2.958220934999999,0.005,1.0,200,10,0,0.5,True,4,4_72
2,-176.72705714474438,-180.4922648912111,201,189,52,5102,2.9976261300000004,0.005,1.0,200,10,0,0.5,True,4,4_72
3,-63.70036268885465,-201.0,201,195,194,5103,2.7034977520000005,0.005,1.0,200,10,0,0.5,True,4,4_72
4,-167.47301267564188,-163.30990094077254,201,193,41,5104,2.624226890000001,0.005,1.0,200,10,0,0.5,True,4,4_72
5,-94.00646095009006,-90.25505442449153,201,193,26,5105,2.623427875000001,0.005,1.0,200,10,0,0.5,True,4,4_72
6,-227.18870631049182,-172.4790726380045,201,191,35,5106,2.7533676940000014,0.005,1.0,200,10,0,0.5,True,4,4_72
7,-128.90968102220143,-201.0,201,197,197,5107,2.5681459679999996,0.005,1.0,200,10,0,0.5,True,4,4_72
8,-262.8758547985668,-201.0,201,198,198,5108,2.641541923000002,0.005,1.0,200,10,0,0.5,True,4,4_72
9,-243.04250513749844,-201.0,201,195,193,5109,2.7167857269999978,0.005,1.0,200,10,0,0.5,True,4,4_72
10,-262.3635470493264,-201.0,201,197,197,5110,2.7787072580000007,0.005,1.0,200,10,0,0.5,True,4,4_72
11,-133.76382181973526,-165.71847080651636,201,192,50,5111,3.027678238,0.005,1.0,200,10,0,0.5,True,4,4_72
12,-84.65974149606012,-87.92218941284061,201,192,26,5112,2.999766868000002,0.005,1.0,200,10,0,0.5,True,4,4_72
13,-37.39933241521976,-28.050742258054584,201,191,81,5113,2.9228920589999987,0.005,1.0,200,10,0,0.5,True,4,4_72
14,-187.51655946839608,-201.0,201,192,188,5114,2.6107460590000002,0.005,1.0,200,10,0,0.5,True,4,4_72
