,TrueReward,ExpectedReward,NumActions,NumRepeatActions,NumImmediateRepeatActions,EnvSeed,Time,Tau,Cost,MaxActions,Steps,RolloutDepth,ExplorationCoeff,Discretize,Bins,EnvType
0,-44.8970879692956,-49.59772100160549,201,190,24,5000,3.7516155100000006,0.005,1.0,200,10,3,100.0,True,4,2_36
1,-75.84015421526377,-78.291645324825,201,191,15,5001,3.4437661900000016,0.005,1.0,200,10,3,100.0,True,4,2_36
2,-91.27096942178596,-201.0,201,189,20,5002,2.9829215799999993,0.005,1.0,200,10,3,100.0,True,4,2_36
3,-112.52696142333394,-138.8537030853837,201,190,15,5003,3.217539030000001,0.005,1.0,200,10,3,100.0,True,4,2_36
4,-71.3270296240029,-69.68337052535716,201,190,18,5004,3.822753200000001,0.005,1.0,200,10,3,100.0,True,4,2_36
5,-179.96615448842644,-173.6791932127226,201,190,13,5005,3.6697481299999986,0.005,1.0,200,10,3,100.0,True,4,2_36
6,-34.86901680680768,-73.40848795278356,201,190,33,5006,3.3898791100000025,0.005,1.0,200,10,3,100.0,True,4,2_36
7,-142.9847103814559,-148.3406793711832,201,190,18,5007,3.4985407600000045,0.005,1.0,200,10,3,100.0,True,4,2_36
8,-221.9367116936529,-201.0,201,189,15,5008,3.0335936199999978,0.005,1.0,200,10,3,100.0,True,4,2_36
9,-160.48754500030327,-154.3873962023211,201,190,23,5009,2.63273375,0.005,1.0,200,10,3,100.0,True,4,2_36
10,-140.44443380729678,-135.78194754817193,201,190,17,5010,2.748916659999999,0.005,1.0,200,10,3,100.0,True,4,2_36
11,-100.37362575300979,-82.35501555056793,201,190,22,5011,3.6555574500000034,0.005,1.0,200,10,3,100.0,True,4,2_36
12,-186.76445027076846,-177.64392761333428,201,190,17,5012,3.0431365600000007,0.005,1.0,200,10,3,100.0,True,4,2_36
13,-85.09822166060098,-88.90359286011537,201,190,27,5013,3.675553039999997,0.005,1.0,200,10,3,100.0,True,4,2_36
14,-193.90133195554526,-182.01546626786472,201,190,24,5014,3.345065490000003,0.005,1.0,200,10,3,100.0,True,4,2_36
15,-160.00210602895174,-162.6150963573077,201,190,14,5015,3.531691099999996,0.005,1.0,200,10,3,100.0,True,4,2_36
16,-193.02566690617536,-195.31103835679366,201,189,14,5016,3.0615409899999975,0.005,1.0,200,10,3,100.0,True,4,2_36
17,-172.35035818653034,-169.11668287507902,201,190,21,5017,2.917838809999992,0.005,1.0,200,10,3,100.0,True,4,2_36
18,-476.5435713078175,-201.0,201,189,14,5018,2.8783180799999997,0.005,1.0,200,10,3,100.0,True,4,2_36
19,-142.4887954594564,-145.67939848069767,201,190,21,5019,3.105510890000005,0.005,1.0,200,10,3,100.0,True,4,2_36
20,-53.6356020982912,-55.2819315716319,201,191,25,5020,3.0403056399999997,0.005,1.0,200,10,3,100.0,True,4,2_36
21,-30.00001384383563,-36.5413329739155,201,191,24,5021,3.1797207999999983,0.005,1.0,200,10,3,100.0,True,4,2_36
22,-103.67361530731758,-201.0,201,189,25,5022,2.8273117600000006,0.005,1.0,200,10,3,100.0,True,4,2_36
23,-369.17191965401435,-201.0,201,189,33,5023,2.9280705900000044,0.005,1.0,200,10,3,100.0,True,4,2_36
24,-244.23187129909252,-201.0,201,189,25,5024,3.2208750000000066,0.005,1.0,200,10,3,100.0,True,4,2_36
