,TrueReward,ExpectedReward,NumActions,NumRepeatActions,NumImmediateRepeatActions,EnvSeed,Time,EnvType,Cost
0,126.30956418582088,122.31468007182085,14,0,0,2000,88.74625330800001,5_90,0.05
1,278.56142907923225,252.45228732833345,15,0,0,2001,91.09786097800001,5_90,0.05
2,190.82347221583126,184.04032637043406,20,4,0,2002,127.94804933,5_90,0.05
3,181.51398819096744,162.41994231554312,27,4,0,2003,170.528348709,5_90,0.05
4,439.5218307095402,402.3134741020797,9,0,0,2004,54.48400865100001,5_90,0.05
5,165.7777860152564,181.17455420174173,17,2,0,2005,110.151960401,5_90,0.05
6,196.6693190901296,221.85624290936772,11,0,0,2006,72.69421263499999,5_90,0.05
7,287.97736622674745,263.20181759231906,17,0,0,2007,105.86016061499993,5_90,0.05
8,31.234158884946467,2.8162572334259575,14,0,0,2008,88.97885970499999,5_90,0.05
9,231.68420795303442,219.33815464814745,13,1,0,2009,81.99130388599997,5_90,0.05
10,213.56635421736254,237.4534888817929,14,2,0,2010,91.52501459000007,5_90,0.05
11,214.0201146280333,208.98070826449222,12,0,0,2011,77.25806493000005,5_90,0.05
12,198.38031451393715,204.40625328423886,12,0,0,2012,76.3105384349999,5_90,0.05
13,200.40789517616832,217.3039263124477,15,0,0,2013,91.84448325700009,5_90,0.05
14,74.56434422010722,96.92239749475381,14,0,0,2014,72.34771945700004,5_90,0.05
15,142.95810366852555,162.27923656313968,14,0,0,2015,79.3019442530001,5_90,0.05
16,266.61382197691876,223.9609146282595,17,0,0,2016,91.50163788300006,5_90,0.05
17,458.41554897214417,481.55722238217345,12,2,0,2017,60.69378817199981,5_90,0.05
18,109.86368172005119,106.27134370963788,25,0,0,2018,127.93006910300005,5_90,0.05
19,71.84654656135407,65.03480994085469,18,2,0,2019,93.28440966599987,5_90,0.05
20,97.51538725284051,97.22181692192214,12,0,0,2020,69.63593682999999,5_90,0.05
21,250.099523086671,282.8488420151192,15,3,0,2021,87.92288193299987,5_90,0.05
22,117.08616901195748,143.24969902211708,38,10,0,2022,208.15034877599987,5_90,0.05
23,509.0135361344171,501.9910605815249,10,0,0,2023,52.26890282400018,5_90,0.05
24,312.28598690105326,348.662449644961,9,1,0,2024,46.2192262450003,5_90,0.05
25,139.21491585711684,169.56285294915094,19,4,0,2025,100.19353047899995,5_90,0.05
26,155.8984084413609,183.14873323439886,18,0,0,2026,91.95466456199983,5_90,0.05
27,419.3879235030555,406.69145047430374,8,0,0,2027,42.427380627000275,5_90,0.05
28,310.3992375230062,263.3417228616571,12,0,0,2028,65.38376475999985,5_90,0.05
29,364.42230707946123,392.1728209851477,13,1,0,2029,65.4612794919999,5_90,0.05
30,297.1416586402572,319.23275319302456,18,4,1,2030,94.22507561400016,5_90,0.05
31,266.13191991434513,267.10260484160864,10,0,0,2031,56.94163943900003,5_90,0.05
32,104.36505766916085,141.49162937062138,20,0,0,2032,105.12295716500012,5_90,0.05
33,199.69734797250874,179.25853286325562,12,0,0,2033,61.0235334289996,5_90,0.05
34,188.5594105388388,194.31061532654695,25,4,0,2034,128.82284879400004,5_90,0.05
35,230.01749041744253,198.81439822011242,6,0,0,2035,29.8977489910003,5_90,0.05
36,104.78902496961122,83.76310077526472,12,0,0,2036,59.874609111000154,5_90,0.05
37,48.7992997162887,40.373656203626574,20,0,0,2037,101.80289787500033,5_90,0.05
38,141.46596186649063,134.21608998627477,12,0,0,2038,61.39149336000037,5_90,0.05
39,79.6601483959944,95.45370057122645,12,0,0,2039,63.53051448699989,5_90,0.05
40,284.15601957512564,250.7968852153847,9,0,0,2040,48.00302557000032,5_90,0.05
41,189.3965418745716,253.83322687262074,11,0,0,2041,58.60366438700021,5_90,0.05
42,224.9235289103117,193.24245333537962,12,0,0,2042,61.00033318099986,5_90,0.05
43,385.7876473355364,325.29509212314116,8,0,0,2043,41.08469509899987,5_90,0.05
44,357.7437554446846,372.31291844265377,17,5,0,2044,85.72552614899996,5_90,0.05
45,221.47177395603575,245.6582368717653,17,0,0,2045,90.02596471400011,5_90,0.05
46,141.90904800479007,170.55736570487892,30,2,0,2046,158.93240368899978,5_90,0.05
47,235.3739705091449,243.19136387632858,7,0,0,2047,35.25801535399978,5_90,0.05
48,12.05933010183515,11.589247831037719,24,3,0,2048,130.71976889799998,5_90,0.05
49,186.3683496865923,192.14613912291057,14,0,0,2049,75.16523256899927,5_90,0.05
50,250.2891388027562,232.98936794249119,11,0,0,2050,60.09855206799966,5_90,0.05
51,186.7414817099266,179.8116870840063,14,0,0,2051,72.27203830600047,5_90,0.05
52,330.0802907322442,343.3458564598286,9,0,0,2052,45.03981079499954,5_90,0.05
53,535.9069975213124,556.353327894536,8,0,0,2053,43.18050742899959,5_90,0.05
54,151.31255652945183,154.05114219388125,20,0,0,2054,105.67197790499995,5_90,0.05
55,255.11902253144518,246.61574774402797,13,0,0,2055,67.4361457720006,5_90,0.05
56,206.34013260644713,202.9867161279128,11,0,0,2056,60.89280077499916,5_90,0.05
57,78.06705250856129,74.79171404671304,20,0,0,2057,104.79537504600012,5_90,0.05
58,423.14021068169717,404.8322457851277,4,0,0,2058,21.93017477000012,5_90,0.05
59,38.07938780454618,35.664904364639895,23,2,0,2059,122.061671036,5_90,0.05
60,391.95671763668577,372.29238427451037,3,0,0,2060,15.128023997999662,5_90,0.05
61,122.12062037259629,142.743192922877,12,0,0,2061,67.94272915200054,5_90,0.05
62,178.26496157380438,190.3845188774573,12,0,0,2062,69.33024354200006,5_90,0.05
63,162.42522791454135,177.10721694839907,18,1,0,2063,100.38966831700054,5_90,0.05
64,225.28606167403476,197.70447296428839,11,0,0,2064,58.653869091999695,5_90,0.05
65,208.29864866933147,211.340927386565,19,3,0,2065,104.85288517800018,5_90,0.05
66,259.58029463588764,281.8511992943805,16,1,0,2066,85.23772610800006,5_90,0.05
67,260.97933099084366,248.68731130022033,14,2,0,2067,73.5606565449998,5_90,0.05
68,375.2088903764555,352.2443850179986,11,0,0,2068,57.151580904000184,5_90,0.05
69,78.84278079243842,77.03598719699667,14,0,0,2069,70.97346199599997,5_90,0.05
70,147.2349792511059,122.09011595046753,19,4,0,2070,97.56589414999962,5_90,0.05
71,349.64107722851924,394.1314761040188,6,0,0,2071,31.876506578999397,5_90,0.05
72,115.86959895700298,131.8392346156185,15,2,0,2072,77.52624512999955,5_90,0.05
73,257.5428343891117,258.18084856343484,15,3,0,2073,76.84306493399981,5_90,0.05
74,214.3153917394634,168.14380719493997,12,0,0,2074,61.834954964000644,5_90,0.05
75,164.51251136182924,131.10083036616624,13,0,0,2075,69.18571017200065,5_90,0.05
76,239.32918554100547,264.0459889643324,7,0,0,2076,37.583085163999385,5_90,0.05
77,220.04095140010475,240.58412046412207,12,0,0,2077,62.74665015699975,5_90,0.05
78,245.81134220910872,240.27472334965242,30,4,0,2078,153.76633719799975,5_90,0.05
79,348.1120957312737,298.05370760096787,16,0,0,2079,82.85258628200063,5_90,0.05
80,143.40449084749415,132.73640988351653,19,0,0,2080,95.44314618000044,5_90,0.05
81,140.44304999764256,126.3612860280702,15,1,0,2081,74.76365376400008,5_90,0.05
82,157.8321107521099,182.99768063454897,9,0,0,2082,44.845599475999734,5_90,0.05
83,133.79050068478654,140.41607098452846,7,0,0,2083,36.13327470599961,5_90,0.05
84,205.91663176931735,261.7074045536124,10,0,0,2084,50.866729817000305,5_90,0.05
85,235.14398805229757,215.25578994046612,14,1,0,2085,70.48468824500014,5_90,0.05
86,18.850956088227548,90.0775391308141,14,0,0,2086,70.29308396299984,5_90,0.05
87,91.0120759727334,137.3070787733149,12,0,0,2087,59.874701216000176,5_90,0.05
88,241.0705664664577,234.0862319679587,17,1,0,2088,87.1641662209995,5_90,0.05
89,385.52487813630785,346.0054827688246,6,0,0,2089,30.517114528999628,5_90,0.05
90,294.8502211718188,271.9052391079845,15,1,0,2090,75.49329820000003,5_90,0.05
91,267.2988129060138,238.3425288917965,12,0,0,2091,59.82030867600042,5_90,0.05
92,13.097494390970944,1.5803121507396038,16,2,0,2092,80.07709208100005,5_90,0.05
93,170.74290248622856,98.09193901796198,17,0,0,2093,84.86882979100028,5_90,0.05
94,99.20636275578995,73.88507130787309,17,2,0,2094,87.50137392600027,5_90,0.05
95,180.77373327640765,154.52614477400454,12,0,0,2095,60.008507040999575,5_90,0.05
96,293.4238224197175,326.210927476863,10,0,0,2096,49.50834773599945,5_90,0.05
97,383.8631688177655,402.87710972130526,7,0,0,2097,34.44853892500032,5_90,0.05
98,112.51328035563134,114.81936866343295,14,0,0,2098,69.78043841800081,5_90,0.05
99,343.4416282926721,345.31827200556853,11,0,0,2099,54.75157147900063,5_90,0.05
100,54.307033885493894,91.27351993272606,12,0,0,2100,62.37060463800026,5_90,0.05
101,327.919495261761,321.244777350604,14,0,0,2101,70.36899939799969,5_90,0.05
102,314.96799030610373,279.9704809881513,7,0,0,2102,34.55374015000052,5_90,0.05
103,219.71289345968054,207.18585489015032,21,4,0,2103,104.8571863319994,5_90,0.05
104,208.4076953444273,205.88906048969704,14,0,0,2104,70.0163125730005,5_90,0.05
105,245.53262501448506,251.59406288898452,24,6,0,2105,122.27564318300028,5_90,0.05
106,169.5418645131442,172.61124159842458,17,0,0,2106,84.89458244100024,5_90,0.05
107,122.96877674627424,90.22806453145148,15,1,0,2107,75.2482190460014,5_90,0.05
108,185.64433764215735,195.6070151959569,11,0,0,2108,54.98792771399894,5_90,0.05
109,259.4204093003553,258.1390204116779,17,0,0,2109,84.9217048419996,5_90,0.05
110,56.240417661715604,60.0970678348663,41,8,0,2110,208.43926423299854,5_90,0.05
111,178.71018687465047,122.34029290709834,19,0,0,2111,95.00271626200083,5_90,0.05
112,152.9853865288106,159.46275636817927,12,0,0,2112,59.706408858999566,5_90,0.05
113,227.0863386366709,264.23414928750327,13,0,0,2113,67.75216396399992,5_90,0.05
114,162.5646529041563,165.88197742200978,14,0,0,2114,70.34154281800147,5_90,0.05
115,320.2888456443608,310.7542959720856,10,0,0,2115,49.87099608999961,5_90,0.05
116,129.87891370215465,153.39243501632174,16,0,0,2116,80.44610948900117,5_90,0.05
117,199.34280381968114,171.0361378451116,13,0,0,2117,64.99098561000028,5_90,0.05
118,210.08399652330297,149.15564846458813,12,0,0,2118,59.43476998999904,5_90,0.05
119,223.09471439676082,226.35641399382538,11,0,0,2119,56.745486902000266,5_90,0.05
120,211.84716007319884,248.15532989990893,13,0,0,2120,65.55354744100077,5_90,0.05
121,187.16360912039465,184.724773412093,15,0,0,2121,75.18344826599969,5_90,0.05
122,147.42660633715863,169.14431647046308,12,0,0,2122,59.87925421299951,5_90,0.05
123,260.88287133994305,230.5412247570378,17,2,0,2123,85.0764314249991,5_90,0.05
124,191.16305224059667,190.77117578814773,25,7,0,2124,125.02214555799947,5_90,0.05
125,478.0026317235356,449.11050922740253,8,0,0,2125,41.895963768,5_90,0.05
126,417.1790266545052,360.30047874562547,13,2,0,2126,65.88729080399935,5_90,0.05
127,149.41097505620237,186.8063163652002,13,0,0,2127,65.43123135400128,5_90,0.05
128,181.20630343812738,180.96878122640015,13,0,0,2128,65.41132358100003,5_90,0.05
129,300.3334463757708,348.21387775111134,9,0,0,2129,44.88407484399977,5_90,0.05
130,124.71928791238355,191.92361507783932,13,0,0,2130,64.94040190099986,5_90,0.05
131,52.14675722529098,62.18704534131133,16,2,0,2131,80.426931177999,5_90,0.05
132,114.8642552749911,128.29243789534524,13,0,0,2132,64.96780219300126,5_90,0.05
133,238.16071115459934,209.1123449991865,11,0,0,2133,57.61410310000065,5_90,0.05
134,134.4163306912326,140.54554531809535,23,0,0,2134,115.92287583799953,5_90,0.05
135,93.27480992704317,122.99040748133493,15,1,0,2135,74.5768638949994,5_90,0.05
136,101.3005547649053,116.5612487640308,20,0,0,2136,100.27884885299864,5_90,0.05
137,140.1270138969528,153.12097864570774,12,0,0,2137,59.80311508399973,5_90,0.05
138,283.83145875789705,297.1587453913264,14,0,0,2138,70.06788901999971,5_90,0.05
139,157.82471601826802,174.61713510051385,17,3,0,2139,88.44042688100126,5_90,0.05
140,283.8421901719066,222.36050684632607,8,0,0,2140,40.306681381998715,5_90,0.05
141,200.38055548652767,175.81447764809658,21,4,0,2141,105.6336013070013,5_90,0.05
142,181.53166838503228,167.71223460270068,9,0,0,2142,44.910853209999914,5_90,0.05
143,111.31236718807745,103.61979657763679,18,0,0,2143,90.30454143499992,5_90,0.05
