,Participant,Condition,Counterbalance,TrialId,Score,ExpectedScore,ClickedScore,NumClicks,Actions,TestEnv,OptimalScore,ClickAgreement,RepeatAgreement,StrictRepeatAgreement,TermAgreement,RepeatClicks,BmpsReward,BmpsClick,BmpsRepeatClicks,BmpsActions,Cost,Tau,BmpsGoalStrategy,GoalStrategy,Excluded
1318,179,1,72,18,49.04,49.03793256756529,50.660000000000004,60,"['45', '45', '30', '30', '29', '29', '27', '27', '26', '26', '26', '26', '26', '29', '29', '29', '23', '23', '28', '28', '28', '25', '25', '25', '24', '24', '22', '22', '21', '21', '20', '20', '20', '16', '20', '20', '20', '20', '20', '20', '20', '20', '20', '19', '19', '16', '16', '16', '22', '23', '23', '23', '23', '23', '23', '23', '23', '25', '25', '25']",18,49.61381410494682,0.14754098360655737,0.5416666666666666,0.0,0.9836065573770492,46,23.873271960958295,18,4,"[15, 9, 2, 3, 10, 11, 12, 13, 14, 9, 14, 12, 4, 5, 7, 6, 13, 61]",0.03,0.009,True,True,False
1319,179,1,72,19,34.31,34.308457669269195,66.8,54,"['45', '45', '30', '30', '15', '60', '60', '60', '29', '29', '29', '28', '28', '28', '26', '26', '27', '27', '22', '22', '22', '20', '20', '19', '19', '19', '19', '19', '20', '20', '20', '20', '21', '21', '21', '23', '29', '29', '29', '29', '29', '29', '29', '29', '27', '27', '27', '27', '26', '26', '26', '25', '25', '28']",19,34.30845766926919,0.18181818181818182,0.23809523809523808,0.047619047619047616,0.9818181818181818,40,39.80523570885464,37,23,"[15, 30, 24, 17, 18, 18, 17, 17, 28, 26, 29, 27, 28, 27, 24, 29, 28, 19, 20, 21, 22, 22, 20, 21, 18, 21, 22, 19, 20, 19, 19, 21, 18, 22, 18, 19, 61]",0.03,0.009,True,True,False
1320,180,2,36,10,18.27,18.273277579124677,23.199999999999996,12,"['31', '46', '16', '15', '30', '45', '60', '8', '7', '11', '14', '15']",10,18.273277579124677,0.15384615384615385,0.0,0.0,0.9230769230769231,1,15.63891474702604,18,2,"[15, 30, 45, 39, 40, 32, 33, 36, 34, 41, 42, 43, 44, 60, 37, 33, 34, 61]",0.05,0.0056,True,False,False
1321,180,2,36,11,8.65,8.648409821395429,23.42,43,"['15', '30', '45', '60', '27', '24', '39', '42', '45', '45', '45', '45', '45', '45', '45', '45', '45', '45', '38', '15', '30', '23', '30', '9', '2', '8', '1', '4', '7', '9', '13', '10', '11', '14', '12', '54', '47', '50', '57', '52', '24', '30', '17']",11,8.648409821395427,0.13636363636363635,0.0,0.0,0.9772727272727273,16,-1.877273264576377,16,3,"[15, 30, 45, 54, 60, 24, 25, 26, 27, 28, 29, 17, 30, 15, 60, 61]",0.05,0.0056,True,True,False
1322,180,2,36,12,3.48,3.490017493877142,39.24,17,"['30', '45', '60', '15', '57', '54', '47', '50', '39', '32', '42', '35', '37', '36', '33', '34', '55']",12,3.490017493877142,0.3888888888888889,0.0,0.0,0.9444444444444444,0,14.656849806565008,29,13,"[15, 30, 45, 54, 47, 55, 56, 57, 59, 58, 48, 49, 51, 52, 52, 47, 51, 49, 47, 49, 59, 54, 58, 57, 60, 54, 57, 60, 61]",0.05,0.0056,True,True,False
1323,180,2,36,13,10.85,10.853621646486232,0.9200000000000002,9,"['45', '30', '42', '39', '32', '35', '37', '36', '36']",13,10.853621646486232,0.5,0.0,0.0,0.9,1,34.67845204178537,8,0,"[15, 9, 10, 11, 13, 2, 12, 61]",0.05,0.0056,True,True,False
1324,180,2,36,14,5.05,5.046861598440547,15.089999999999998,11,"['60', '45', '30', '15', '42', '39', '32', '35', '36', '41', '44']",14,5.280194931773878,0.5833333333333334,0.0,0.0,0.9166666666666666,0,5.966172735065116,20,5,"[15, 30, 45, 54, 60, 39, 40, 41, 44, 42, 41, 42, 32, 42, 41, 36, 33, 33, 43, 61]",0.05,0.0056,True,True,False
1325,180,2,36,15,26.41,26.40545858949368,27.42,8,"['30', '42', '45', '60', '15', '57', '50', '52']",15,26.40545858949368,0.4444444444444444,,,0.8888888888888888,0,19.345929424701353,22,7,"[15, 30, 45, 39, 32, 33, 34, 40, 41, 43, 42, 44, 35, 41, 42, 42, 41, 36, 41, 42, 33, 61]",0.05,0.0056,True,True,False
1326,180,2,36,16,32.13,32.128497525865946,42.58,9,"['45', '60', '30', '42', '35', '32', '39', '43', '44']",16,32.88376068376068,0.4,,,0.9,0,28.70780352731497,20,6,"[15, 9, 10, 11, 13, 14, 11, 2, 3, 4, 5, 5, 4, 7, 6, 6, 14, 2, 12, 61]",0.05,0.0056,True,True,False
1327,180,2,36,17,19.87,19.868308591992804,19.14,12,"['45', '60', '30', '15', '27', '20', '17', '24', '28', '29', '21', '26']",17,19.8683085919928,0.38461538461538464,,,0.9230769230769231,0,22.557803155687964,15,2,"[15, 30, 24, 25, 26, 27, 28, 17, 26, 27, 21, 19, 20, 22, 61]",0.05,0.0056,True,True,False
1328,180,2,36,18,50.26,50.24878142650073,60.78,9,"['30', '45', '27', '20', '29', '28', '24', '17', '21']",18,51.3257045034238,0.3,,,0.9,0,55.714087769280745,43,25,"[15, 9, 2, 3, 13, 11, 12, 14, 13, 9, 30, 24, 25, 26, 28, 17, 18, 27, 29, 24, 29, 27, 26, 28, 18, 17, 17, 18, 17, 29, 27, 28, 24, 24, 27, 28, 29, 24, 27, 29, 28, 18, 61]",0.05,0.0056,True,True,False
1329,180,2,36,19,29.28,29.289595641525473,27.27,10,"['30', '45', '60', '15', '27', '24', '28', '29', '17', '20']",19,29.289595641525473,0.36363636363636365,0.0,0.0,0.9090909090909091,0,35.0172918408436,22,8,"[15, 30, 24, 17, 21, 19, 22, 20, 19, 25, 26, 27, 28, 29, 28, 29, 27, 24, 27, 29, 28, 61]",0.05,0.0056,True,True,False
1330,181,2,58,10,16.06,16.063142572102304,18.25,5,"['8', '23', '38', '53', '30']",10,16.063142572102304,0.0,,,0.8333333333333334,0,15.695997765509718,19,3,"[15, 30, 45, 39, 40, 32, 33, 34, 41, 42, 43, 44, 60, 37, 36, 34, 37, 33, 61]",0.05,0.0049,True,False,False
1331,181,2,58,11,5.81,5.80758389261745,5.09,5,"['8', '23', '38', '53', '36']",11,5.80758389261745,0.0,,,0.8333333333333334,0,0.40710997532861104,15,2,"[15, 30, 45, 54, 60, 24, 25, 26, 27, 15, 28, 17, 29, 60, 61]",0.05,0.0049,True,False,False
1332,181,2,58,12,9.01,9.01257754398694,39.71000000000001,6,"['38', '53', '23', '8', '60', '45']",12,9.01257754398694,0.0,,,0.8571428571428571,0,13.00634312473476,35,19,"[15, 30, 45, 54, 47, 60, 55, 56, 57, 59, 58, 48, 49, 51, 59, 54, 58, 57, 58, 57, 45, 56, 52, 52, 51, 47, 49, 47, 49, 30, 60, 59, 54, 52, 61]",0.05,0.0049,True,False,False
1333,181,2,58,13,1.26,1.2634228187919465,14.59,4,"['23', '38', '8', '53']",13,1.2634228187919465,0.0,,,0.8,0,34.55274552717468,8,0,"[15, 9, 10, 11, 13, 12, 2, 61]",0.05,0.0049,True,False,False
1334,181,2,58,14,0.97,0.9744949494949495,1.3,6,"['8', '23', '8', '38', '53', '53']",14,0.9744949494949497,0.0,0.0,0.0,0.8571428571428571,2,3.2990088581534405,23,6,"[15, 30, 45, 54, 60, 39, 40, 41, 43, 42, 41, 42, 32, 44, 42, 41, 33, 32, 33, 34, 35, 37, 61]",0.05,0.0049,True,False,False
1335,181,2,58,15,3.69,3.687327039359092,10.14,10,"['8', '23', '38', '53', '16', '30', '30', '15', '1', '15']",15,3.687327039359092,0.09090909090909091,0.0,0.0,0.9090909090909091,2,33.58953731148526,21,1,"[15, 30, 45, 39, 40, 41, 43, 32, 33, 34, 42, 60, 54, 55, 47, 48, 49, 50, 58, 54, 61]",0.05,0.0049,True,False,False
1336,181,2,58,16,15.46,15.456303283148916,29.019999999999996,16,"['8', '23', '38', '53', '30', '30', '38', '60', '46', '52', '46', '60', '60', '42', '30', '15']",16,15.456303283148916,0.11764705882352941,0.0,0.0,0.9411764705882353,6,28.51068409369077,18,4,"[15, 9, 13, 10, 11, 14, 11, 2, 3, 4, 5, 4, 7, 9, 14, 6, 12, 61]",0.05,0.0049,True,False,False
1337,181,2,58,17,4.82,4.815100671140939,-6.01,4,"['8', '23', '38', '53']",17,4.815100671140939,0.0,,,0.8,0,21.778940278606203,16,2,"[15, 30, 24, 25, 26, 27, 28, 17, 26, 27, 18, 19, 20, 21, 22, 61]",0.05,0.0049,True,False,False
1338,181,2,58,18,39.56,39.56140934749491,41.660000000000004,6,"['8', '23', '38', '53', '30', '16']",18,39.56140934749491,0.14285714285714285,,,0.8571428571428571,0,48.62468739636525,27,9,"[15, 9, 2, 3, 10, 11, 12, 13, 14, 9, 13, 30, 24, 25, 26, 27, 29, 17, 27, 26, 18, 17, 18, 17, 18, 17, 61]",0.05,0.0049,True,False,False
1339,181,2,58,19,29.28,29.278472700888802,51.830000000000005,6,"['8', '23', '38', '37', '53', '30']",19,29.278472700888802,0.14285714285714285,,,0.8571428571428571,0,33.97414890608526,42,27,"[15, 30, 24, 17, 18, 18, 17, 18, 17, 18, 17, 19, 21, 22, 20, 20, 19, 22, 21, 21, 22, 20, 19, 21, 22, 19, 22, 18, 21, 25, 26, 27, 28, 29, 27, 24, 29, 28, 24, 28, 27, 61]",0.05,0.0049,True,False,False
1340,184,1,38,10,20.01,20.01015110262987,20.85,10,"['15', '30', '45', '60', '40', '33', '38', '36', '34', '41']",10,20.01015110262987,0.7272727272727273,,,0.9090909090909091,0,15.219792506741722,22,6,"[15, 30, 45, 39, 40, 32, 33, 36, 34, 41, 42, 43, 44, 37, 33, 36, 37, 34, 34, 60, 33, 61]",0.06,0.0082,True,True,False
1341,184,1,38,11,10.65,10.639121579068602,11.26,18,"['15', '30', '45', '60', '25', '19', '18', '23', '30', '30', '27', '26', '29', '24', '21', '17', '22', '20']",11,10.639121579068602,0.631578947368421,0.0,0.0,0.46875,2,0.9697915126328658,17,0,"[15, 30, 45, 54, 55, 56, 58, 57, 60, 24, 25, 28, 26, 29, 17, 27, 61]",0.06,0.0082,True,True,False
1342,184,1,38,12,8.61,8.616393667990984,30.720000000000002,14,"['60', '45', '30', '15', '55', '56', '48', '49', '50', '59', '54', '57', '51', '47']",12,8.616393667990984,0.6,,,0.9333333333333333,0,8.669324292728547,20,5,"[15, 30, 45, 54, 47, 51, 49, 52, 52, 48, 58, 55, 51, 56, 57, 59, 49, 47, 52, 61]",0.06,0.0082,True,True,False
1343,184,1,38,13,33.65,33.64781684868046,21.560000000000002,15,"['15', '30', '45', '60', '10', '11', '14', '13', '3', '2', '7', '4', '5', '6', '9']",13,33.64781684868046,0.3125,,,0.9375,0,34.52250564536096,8,0,"[15, 9, 10, 11, 12, 2, 13, 61]",0.06,0.0082,True,True,False
1344,184,1,38,14,5.71,5.713145488290717,18.04,27,"['15', '30', '45', '60', '30', '40', '41', '43', '42', '34', '33', '37', '32', '35', '31', '38', '15', '11', '14', '4', '6', '5', '10', '13', '9', '2', '3']",14,5.713145488290718,0.39285714285714285,0.0,0.0,0.9642857142857143,2,17.240707175742436,16,4,"[15, 30, 45, 54, 55, 56, 47, 51, 48, 48, 47, 49, 50, 48, 47, 61]",0.06,0.0082,True,True,False
1345,184,1,38,15,27.41,27.40531122036532,27.07,12,"['15', '30', '45', '60', '55', '56', '57', '48', '47', '49', '51', '50']",15,27.40531122036532,0.3076923076923077,,,0.9230769230769231,0,19.54095620825446,18,4,"[15, 30, 45, 39, 32, 33, 34, 35, 36, 43, 41, 44, 42, 42, 41, 33, 41, 61]",0.06,0.0082,True,True,False
1346,184,1,38,16,26.94,26.940476345309015,38.79,12,"['15', '30', '45', '60', '10', '11', '4', '5', '6', '3', '13', '12']",16,26.940476345309012,0.07692307692307693,,,0.9230769230769231,0,28.868304295293758,21,7,"[15, 9, 13, 11, 12, 14, 10, 13, 11, 2, 3, 4, 5, 5, 4, 6, 7, 7, 2, 3, 61]",0.06,0.0082,True,True,False
1347,184,1,38,17,22.81,22.809604613790835,24.790000000000003,12,"['15', '30', '45', '60', '26', '29', '25', '28', '19', '22', '18', '21']",17,22.809604613790835,0.46153846153846156,,,0.9230769230769231,0,24.21231021386158,15,1,"[15, 30, 24, 25, 26, 28, 27, 17, 27, 18, 19, 20, 21, 22, 61]",0.06,0.0082,True,True,False
1348,184,1,38,18,58.66,58.65590692473463,57.03,16,"['60', '45', '30', '15', '25', '28', '29', '27', '26', '24', '19', '21', '18', '17', '22', '20']",18,58.65590692473463,0.47058823529411764,0.0,0.0,0.9411764705882353,0,19.30025956231176,13,4,"[15, 9, 2, 3, 13, 11, 12, 14, 13, 12, 14, 9, 61]",0.06,0.0082,True,True,False
1349,184,1,38,19,33.01,33.02488001237526,38.89,14,"['15', '30', '45', '60', '25', '28', '26', '19', '18', '22', '21', '17', '20', '27']",19,33.02488001237526,0.4,0.0,0.0,0.9333333333333333,0,40.29639550050681,10,3,"[15, 30, 24, 17, 21, 18, 17, 18, 17, 61]",0.06,0.0082,True,True,False
1350,185,2,52,10,12.28,12.266955128205128,-2.81,9,"['15', '50', '54', '41', '60', '45', '30', '40', '43']",10,12.266955128205128,0.4,,,0.9,0,15.473797884607452,22,6,"[15, 30, 45, 39, 40, 32, 33, 34, 43, 41, 42, 44, 36, 37, 37, 36, 33, 34, 34, 60, 33, 61]",0.03,0.0095,True,False,False
1351,185,2,52,11,-2.22,-2.2185528360528353,-3.88,12,"['15', '27', '45', '60', '25', '30', '53', '51', '18', '22', '29', '9']",11,2.531447163947164,0.46153846153846156,,,0.9230769230769231,0,1.7125660450660452,17,0,"[15, 30, 45, 54, 55, 56, 58, 57, 60, 24, 25, 26, 28, 29, 17, 27, 61]",0.03,0.0095,True,True,False
1352,185,2,52,12,18.55,18.55628205128205,32.550000000000004,10,"['60', '38', '30', '8', '45', '15', '5', '32', '53', '57']",12,18.55628205128205,0.18181818181818182,,,0.9090909090909091,0,10.043039982616255,20,5,"[15, 30, 45, 54, 47, 51, 49, 52, 47, 51, 48, 55, 56, 57, 58, 59, 52, 49, 49, 61]",0.03,0.0095,True,True,False
1353,185,2,52,13,32.05,32.04720473970474,13.939999999999998,10,"['34', '51', '60', '41', '45', '30', '23', '15', '12', '3']",13,32.04720473970474,0.36363636363636365,,,0.9090909090909091,0,40.53706487956488,8,0,"[15, 9, 10, 11, 12, 2, 14, 61]",0.03,0.0095,True,False,False
1354,185,2,52,14,-3.34,-3.3397008547008546,-8.41,17,"['53', '45', '30', '8', '7', '23', '42', '60', '54', '15', '13', '36', '46', '52', '37', '40', '24']",14,-3.3397008547008546,0.2222222222222222,,,0.9444444444444444,0,18.88941033014026,16,4,"[15, 30, 45, 54, 55, 56, 47, 51, 48, 48, 47, 49, 50, 48, 47, 61]",0.03,0.0095,True,False,False
1355,185,2,52,15,23.01,23.016552059052056,8.09,9,"['7', '13', '30', '38', '60', '51', '58', '45', '15']",15,23.01655205905206,0.3,,,0.9,0,21.50257471934196,20,4,"[15, 30, 45, 39, 32, 33, 34, 36, 40, 41, 43, 44, 42, 42, 41, 35, 33, 37, 39, 61]",0.03,0.0095,True,False,False
1356,185,2,52,16,32.88,32.88173951048951,30.47,10,"['38', '60', '30', '8', '15', '45', '53', '52', '32', '44']",16,32.88173951048951,0.2727272727272727,,,0.9090909090909091,0,32.15613730139592,17,3,"[15, 9, 10, 11, 13, 12, 14, 13, 11, 2, 3, 4, 5, 4, 6, 7, 61]",0.03,0.0095,True,False,False
1357,185,2,52,17,24.67,24.668961732711733,18.22,16,"['22', '24', '30', '12', '6', '15', '39', '34', '45', '58', '57', '48', '60', '25', '27', '20']",17,24.668961732711733,0.17647058823529413,,,0.9411764705882353,0,26.575371989121987,15,1,"[15, 30, 24, 25, 26, 27, 28, 17, 21, 19, 20, 22, 26, 29, 61]",0.03,0.0095,True,False,False
1358,185,2,52,18,57.72,57.72323523698523,65.54,15,"['54', '39', '24', '12', '15', '30', '41', '58', '60', '45', '29', '21', '6', '20', '25']",18,57.72323523698523,0.0625,,,0.9375,0,24.354848484848482,15,4,"[15, 9, 2, 3, 10, 11, 12, 13, 14, 12, 14, 13, 9, 6, 61]",0.03,0.0095,True,False,False
1359,185,2,52,19,27.19,27.20078185703186,51.31,16,"['25', '12', '39', '59', '47', '36', '45', '60', '11', '30', '15', '3', '22', '18', '20', '28']",19,33.2466792929293,0.17647058823529413,,,0.9411764705882353,0,43.0944564935065,44,29,"[15, 30, 24, 17, 18, 17, 18, 18, 17, 21, 19, 20, 22, 20, 19, 22, 21, 20, 22, 19, 21, 21, 18, 19, 22, 22, 18, 21, 25, 26, 29, 28, 27, 29, 24, 27, 28, 24, 29, 27, 26, 28, 26, 61]",0.03,0.0095,True,False,False
1360,187,2,48,10,11.3,11.298535638626825,9.3,11,"['60', '38', '30', '15', '6', '16', '53', '45', '34', '43', '41']",10,11.423571099619734,0.5,,,0.9166666666666666,0,15.044187155296898,24,7,"[15, 30, 45, 39, 40, 32, 33, 60, 34, 41, 42, 44, 43, 36, 37, 33, 37, 36, 34, 37, 36, 35, 35, 61]",0.06,0.0041,True,True,False
1361,187,2,48,11,0.76,0.7589065841218092,10.670000000000002,18,"['1', '23', '38', '60', '46', '30', '15', '30', '16', '16', '8', '15', '45', '30', '29', '28', '21', '22']",11,3.3983396906977728,0.21052631578947367,0.0,0.0,0.9473684210526315,4,-3.120961205056028,21,3,"[15, 30, 45, 60, 30, 9, 10, 2, 13, 11, 14, 60, 15, 24, 25, 26, 27, 17, 28, 29, 61]",0.06,0.0041,True,False,False
1362,187,2,48,12,22.54,22.540074515655007,48.44,13,"['38', '60', '30', '8', '1', '23', '31', '53', '46', '60', '59', '50', '47']",12,22.540074515655007,0.21428571428571427,0.0,0.0,0.9285714285714286,1,11.094958880949086,34,18,"[15, 30, 45, 54, 47, 60, 58, 55, 51, 49, 56, 57, 59, 54, 58, 57, 59, 59, 54, 57, 60, 56, 52, 49, 47, 51, 52, 47, 52, 48, 49, 58, 57, 61]",0.06,0.0041,True,False,False
1363,187,2,48,13,30.87,30.87785878761563,37.64,12,"['36', '15', '23', '16', '8', '6', '7', '1', '14', '45', '60', '60']",13,30.877858787615633,0.15384615384615385,0.0,0.0,0.9230769230769231,1,34.1758811738751,8,0,"[15, 9, 10, 11, 13, 12, 2, 61]",0.06,0.0041,True,False,False
1364,187,2,48,14,-10.94,-10.945971182768757,-25.169999999999998,20,"['23', '1', '53', '60', '45', '15', '30', '38', '31', '8', '46', '16', '30', '60', '45', '38', '43', '41', '35', '36']",14,-7.793914445180106,0.23809523809523808,0.0,0.0,0.9523809523809523,4,4.675960441410893,20,6,"[15, 30, 45, 60, 39, 40, 41, 43, 42, 41, 42, 32, 44, 42, 41, 33, 32, 33, 36, 61]",0.06,0.0041,True,False,False
