,TrueReward,ExpectedReward,NumActions,NumRepeatActions,NumImmediateRepeatActions,EnvSeed,Time,Tau,Cost,MaxActions,Steps,RolloutDepth,ExplorationCoeff,Discretize,Bins,EnvType
0,231.15115937693548,215.23680360475598,26,6,0,3150,365.77251335,0.005,0.05,200,5000,3,5.0,True,4,5_90
1,104.40326244642559,102.0113081569529,58,16,0,3151,835.6126174499999,0.005,0.05,200,5000,3,5.0,True,4,5_90
2,384.9912274393724,391.55734428540273,52,19,0,3152,694.9736906200001,0.005,0.05,200,5000,3,5.0,True,4,5_90
3,227.57481162866986,245.15635505232785,27,6,0,3153,392.7646835999999,0.005,0.05,200,5000,3,5.0,True,4,5_90
4,355.3226938449158,341.2118449249766,37,8,2,3154,521.2469952700003,0.005,0.05,200,5000,3,5.0,True,4,5_90
5,162.17665304961704,127.86262493340472,48,15,0,3155,585.3218898999999,0.005,0.05,200,5000,3,5.0,True,4,5_90
6,274.1358013610487,266.53416933564176,31,6,1,3156,359.76650874000006,0.005,0.05,200,5000,3,5.0,True,4,5_90
7,160.67751624062083,171.40282774476785,41,11,3,3157,507.17210915999976,0.005,0.05,200,5000,3,5.0,True,4,5_90
8,187.99030625224373,192.83957721551477,40,9,1,3158,505.5110766300004,0.005,0.05,200,5000,3,5.0,True,4,5_90
9,45.844509620499025,50.77504225672652,106,45,2,3159,1250.8895344700004,0.005,0.05,200,5000,3,5.0,True,4,5_90
10,95.79262095374378,115.21095543329578,31,6,2,3160,396.8871159700002,0.005,0.05,200,5000,3,5.0,True,4,5_90
11,250.22207809818653,255.59038637588367,32,8,0,3161,418.2022077900001,0.005,0.05,200,5000,3,5.0,True,4,5_90
12,31.911629103715587,28.60199169525315,42,10,0,3162,520.3294925999999,0.005,0.05,200,5000,3,5.0,True,4,5_90
13,547.8790183134043,514.0647808619685,23,5,0,3163,289.85702214999947,0.005,0.05,200,5000,3,5.0,True,4,5_90
14,284.89206311880037,288.8784610917028,30,9,2,3164,371.04687617000036,0.005,0.05,200,5000,3,5.0,True,4,5_90
15,182.2445063987297,178.2257728610922,41,12,0,3165,524.352543850001,0.005,0.05,200,5000,3,5.0,True,4,5_90
16,88.73686212712651,91.85842440804822,25,4,0,3166,335.31865053,0.005,0.05,200,5000,3,5.0,True,4,5_90
17,174.90111297080605,149.1020931923935,42,7,0,3167,552.1721049299995,0.005,0.05,200,5000,3,5.0,True,4,5_90
18,116.03184293285557,111.06414335863471,56,16,1,3168,685.9113671499999,0.005,0.05,200,5000,3,5.0,True,4,5_90
19,351.577003704398,363.4205335042218,81,26,1,3169,945.1991315300002,0.005,0.05,200,5000,3,5.0,True,4,5_90
20,381.66475868450635,352.31509407867406,30,5,1,3170,360.5310611900004,0.005,0.05,200,5000,3,5.0,True,4,5_90
21,150.61775272790422,138.42206277567195,42,11,0,3171,559.62572086,0.005,0.05,200,5000,3,5.0,True,4,5_90
22,112.79772826167351,143.08898517752021,34,7,0,3172,447.684240139999,0.005,0.05,200,5000,3,5.0,True,4,5_90
23,175.86587095204194,194.04378987931446,64,22,1,3173,767.1241230899996,0.005,0.05,200,5000,3,5.0,True,4,5_90
24,391.4604488993423,399.8325940259514,80,26,0,3174,954.2066469199999,0.005,0.05,200,5000,3,5.0,True,4,5_90
25,236.9858554276383,248.5802901867477,33,9,2,3175,420.28899140999965,0.005,0.05,200,5000,3,5.0,True,4,5_90
26,75.05173751535678,96.81693023290228,57,20,2,3176,694.9469601199999,0.005,0.05,200,5000,3,5.0,True,4,5_90
27,3.466746501637725,-21.04126660531843,85,30,0,3177,1026.7489190800006,0.005,0.05,200,5000,3,5.0,True,4,5_90
28,90.82280847940449,113.20194741416131,50,16,1,3178,615.8264970400014,0.005,0.05,200,5000,3,5.0,True,4,5_90
29,216.71499285886202,214.81714496285437,27,0,0,3179,358.642422779998,0.005,0.05,200,5000,3,5.0,True,4,5_90
