,TrueReward,ExpectedReward,NumActions,NumRepeatActions,NumImmediateRepeatActions,EnvSeed,Time,EnvType,Cost,CostWeight
2376,191.24451767624754,176.82366996532602,8,0,0,2376,0.2905506619999869,5,1.0,0.27682040176433226
2377,322.42613675904084,304.29169553794435,10,0,0,2377,0.388777015000187,5,1.0,0.27682040176433226
2378,112.57128777795236,94.68407356367888,25,4,0,2378,1.1724528080001164,5,1.0,0.27682040176433226
2379,220.13467502336374,187.43048871947687,18,0,0,2379,0.7581702780000796,5,1.0,0.27682040176433226
2380,184.44181875378555,182.08712646522588,15,1,1,2380,0.7489364170000954,5,1.0,0.27682040176433226
2381,187.80359522007078,181.39656768631042,13,0,0,2381,0.6662779819998832,5,1.0,0.27682040176433226
2382,192.04970408060342,185.01271900709304,16,2,0,2382,0.8715493280001283,5,1.0,0.27682040176433226
2383,12.040585049804626,18.536713353919943,18,0,0,2383,0.7512963789999958,5,1.0,0.27682040176433226
2384,237.0533789170749,192.6637096989989,15,0,0,2384,0.7476338389999455,5,1.0,0.27682040176433226
2385,254.5237704794318,248.15933306370437,13,0,0,2385,0.681885093000119,5,1.0,0.27682040176433226
2386,194.836165014376,207.65205587357107,12,0,0,2386,0.47800129899997046,5,1.0,0.27682040176433226
2387,113.48509860235234,124.83188827881932,19,7,2,2387,0.8643269140000029,5,1.0,0.27682040176433226
2388,342.60090369498744,340.5537124715425,9,0,0,2388,0.3115690459999314,5,1.0,0.27682040176433226
2389,299.4053000400223,286.99426368833895,10,0,0,2389,0.354994060999843,5,1.0,0.27682040176433226
2390,69.32643788375906,75.83753215049228,24,3,0,2390,0.9861904360000153,5,1.0,0.27682040176433226
2391,270.81510847924295,306.0639239800065,5,0,0,2391,0.18325239899991175,5,1.0,0.27682040176433226
2392,193.26444810433154,209.87697278074904,12,0,0,2392,0.45863886999995884,5,1.0,0.27682040176433226
2393,137.97419921632462,161.9923551996799,14,0,0,2393,0.7092067149999366,5,1.0,0.27682040176433226
2394,278.7940721099787,285.16887664665956,13,1,0,2394,0.5844138530001146,5,1.0,0.27682040176433226
2395,250.94013217712086,260.3060028551237,11,0,0,2395,0.49071840900001007,5,1.0,0.27682040176433226
2396,352.82625315477065,311.49532556240564,19,1,0,2396,0.739428683999904,5,1.0,0.27682040176433226
2397,432.59898804935096,408.46383563134617,12,0,0,2397,0.4261581660000502,5,1.0,0.27682040176433226
2398,278.8416471267777,318.77304192522513,8,0,0,2398,0.2878689659999054,5,1.0,0.27682040176433226
2399,80.27293561170902,72.03529685695169,17,0,0,2399,0.6675925389999975,5,1.0,0.27682040176433226
2400,312.90141041027374,288.2097184209535,12,0,0,2400,0.40643004599996857,5,1.0,0.27682040176433226
2401,251.24997585084373,278.6460090882682,10,0,0,2401,0.32609689900004923,5,1.0,0.27682040176433226
2402,280.2031800432562,296.34771598724933,16,4,0,2402,0.521842715000048,5,1.0,0.27682040176433226
2403,50.00468526234823,48.91837816285245,26,2,0,2403,0.8925069130000338,5,1.0,0.27682040176433226
2404,126.186415610344,99.49601855993323,24,3,0,2404,0.9787287200001629,5,1.0,0.27682040176433226
2405,121.07313852021812,154.55956489257045,18,1,0,2405,0.6125301619999846,5,1.0,0.27682040176433226
2406,462.4375222461365,495.83492673908006,9,0,0,2406,0.3188795480000408,5,1.0,0.27682040176433226
2407,253.9591437476961,251.67934391016098,19,3,0,2407,0.6180717770000683,5,1.0,0.27682040176433226
2408,317.03030109225176,319.78865989149307,17,0,0,2408,0.5656303939999816,5,1.0,0.27682040176433226
2409,268.76029361372747,266.0742796856663,15,3,0,2409,0.46374732599997515,5,1.0,0.27682040176433226
2410,175.6134686384662,162.20495986236858,12,0,0,2410,0.4434625869998854,5,1.0,0.27682040176433226
2411,283.56111750503686,309.68378669106295,11,0,0,2411,0.40197467300004064,5,1.0,0.27682040176433226
2412,307.6165992611916,304.392026721844,10,0,0,2412,0.39570607699988614,5,1.0,0.27682040176433226
2413,270.7828871675556,231.844697807621,17,0,0,2413,0.6860590469998442,5,1.0,0.27682040176433226
2414,214.71284829947905,182.44141548382302,12,0,0,2414,0.5078027060001205,5,1.0,0.27682040176433226
2415,140.9584079726521,189.29098061143623,18,4,0,2415,0.8483684029999949,5,1.0,0.27682040176433226
2416,68.03057164893737,58.133728120092,18,0,0,2416,0.7381826710000041,5,1.0,0.27682040176433226
